VideoID,"Question",Answer1 (corr),Answer2,Answer3,Answer4,youtubeURL,,,https://www.youtube.com/watch?v=,
zwbCD3CUFIs,What color is the spatula on the cutting board?,Green,Red,Blue,Black,https://www.youtube.com/watch?v=zwbCD3CUFIs,,,,
zwbCD3CUFIs,What green ingredient is added to the pan ?,Spring onions,Green pepper,Green beans,Cucumber,https://www.youtube.com/watch?v=zwbCD3CUFIs,,,,
zwbCD3CUFIs,What is the purpose of the large blue object on the table ?,To provide heat to cook,It is a trash can,It is a pan,It's a decoration,https://www.youtube.com/watch?v=zwbCD3CUFIs,,,,
zwbCD3CUFIs,How many prawns are cooking in the pan?,approximately 25,About 4 big prawns,approximately 80 prawns,there are no prawns,https://www.youtube.com/watch?v=zwbCD3CUFIs,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
XzgR14o6b80,What is the color if the liquid the two steaks are in?,Yellow-brown,Red,Green,Transparent,https://www.youtube.com/watch?v=XzgR14o6b80,,,,
XzgR14o6b80,What color is the hair of the man cooking?,Blond,Black,Medium Brown,White,https://www.youtube.com/watch?v=XzgR14o6b80,,,,
XzgR14o6b80,Which country are the cabbages from?,They are chinese,They are french,They are british,They are mexican,https://www.youtube.com/watch?v=XzgR14o6b80,,,,(transcript says chinese cabbage)
XzgR14o6b80,How much wasabi is on the spoon ?,About a thumbnail size,None,A full spoon,A single drop,https://www.youtube.com/watch?v=XzgR14o6b80,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
vow-kxTPatc,How many cups of flour are required ?,2 cups,1 cup,5 cups,None,https://www.youtube.com/watch?v=vow-kxTPatc,,,,1:02 in the vid
vow-kxTPatc,What color is the top of the woman ?,Red - brown,Yellow,White,Black,https://www.youtube.com/watch?v=vow-kxTPatc,,,,
vow-kxTPatc,"When the plate is above the oven, how many cooked naans are there ?",6,2,1,4,https://www.youtube.com/watch?v=vow-kxTPatc,,,,
vow-kxTPatc,What is in the jar with the red lid?,Yeast,Nutella,Pepper,Jam,https://www.youtube.com/watch?v=vow-kxTPatc,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
UUlfKJ9M_pQ,What food is displayed behind the two bowls of clam chowder?,A piece of bread,A banana,A bowl of rice,A bowl of apples,https://www.youtube.com/watch?v=UUlfKJ9M_pQ,,,,
UUlfKJ9M_pQ,What is the red food cooking in the black pot?,Bacon,Tomatoes,Pepper,Strawberries,https://www.youtube.com/watch?v=UUlfKJ9M_pQ,,,,
UUlfKJ9M_pQ,"When adding the bacon in the mixture, why does the person say not to use all of it",Keep some for the topping,Because of a religious tradition,Because she accidentally made too much,Because she is preparing another dish that requires bacon,https://www.youtube.com/watch?v=UUlfKJ9M_pQ,,,,
UUlfKJ9M_pQ,What best describes the woman's face?,Some makeup and glasses,No glasses and no makeup,No glasses and blonde hair,Some makeup and red hair,https://www.youtube.com/watch?v=UUlfKJ9M_pQ,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
qPSqTqkHhGg,,,,,,https://www.youtube.com/watch?v=qPSqTqkHhGg,,,,
qPSqTqkHhGg,,,,,,https://www.youtube.com/watch?v=qPSqTqkHhGg,,,,
qPSqTqkHhGg,,,,,,https://www.youtube.com/watch?v=qPSqTqkHhGg,,,,
qPSqTqkHhGg,,,,,,https://www.youtube.com/watch?v=qPSqTqkHhGg,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
qaDMnLE6NBU,,,,,,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,,
qaDMnLE6NBU,,,,,,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,,
qaDMnLE6NBU,,,,,,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,,
qaDMnLE6NBU,,,,,,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
P7XOVPrxEaQ,,,,,,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,,
P7XOVPrxEaQ,,,,,,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,,
P7XOVPrxEaQ,,,,,,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,,
P7XOVPrxEaQ,,,,,,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
Nz9EAqTBrNw,,,,,,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,,
Nz9EAqTBrNw,,,,,,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,,
Nz9EAqTBrNw,,,,,,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,,
Nz9EAqTBrNw,,,,,,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
Njhy1XmKRiQ,,,,,,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,,
Njhy1XmKRiQ,,,,,,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,,
Njhy1XmKRiQ,,,,,,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,,
Njhy1XmKRiQ,,,,,,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
MCs2_Ih0PZA,,,,,,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,,
MCs2_Ih0PZA,,,,,,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,,
MCs2_Ih0PZA,,,,,,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,,
MCs2_Ih0PZA,,,,,,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
LoeSv5enisE,,,,,,https://www.youtube.com/watch?v=LoeSv5enisE,,,,
LoeSv5enisE,,,,,,https://www.youtube.com/watch?v=LoeSv5enisE,,,,
LoeSv5enisE,,,,,,https://www.youtube.com/watch?v=LoeSv5enisE,,,,
LoeSv5enisE,,,,,,https://www.youtube.com/watch?v=LoeSv5enisE,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
Lky6MPtNJto,,,,,,https://www.youtube.com/watch?v=Lky6MPtNJto,,,,
Lky6MPtNJto,,,,,,https://www.youtube.com/watch?v=Lky6MPtNJto,,,,
Lky6MPtNJto,,,,,,https://www.youtube.com/watch?v=Lky6MPtNJto,,,,
Lky6MPtNJto,,,,,,https://www.youtube.com/watch?v=Lky6MPtNJto,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
KmqfNQG1BXk,,,,,,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,,
KmqfNQG1BXk,,,,,,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,,
KmqfNQG1BXk,,,,,,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,,
KmqfNQG1BXk,,,,,,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
jGnz9f_2A2Y,,,,,,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,,
jGnz9f_2A2Y,,,,,,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,,
jGnz9f_2A2Y,,,,,,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,,
jGnz9f_2A2Y,,,,,,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
i8BjqgemuXo,,,,,,https://www.youtube.com/watch?v=i8BjqgemuXo,,,,
i8BjqgemuXo,,,,,,https://www.youtube.com/watch?v=i8BjqgemuXo,,,,
i8BjqgemuXo,,,,,,https://www.youtube.com/watch?v=i8BjqgemuXo,,,,
i8BjqgemuXo,,,,,,https://www.youtube.com/watch?v=i8BjqgemuXo,,,,
,,,,,,https://www.youtube.com/watch?v=,,,,
g1jFJYtQ9_s,,,,,,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,,
g1jFJYtQ9_s,,,,,,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,,
g1jFJYtQ9_s,,,,,,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,,
g1jFJYtQ9_s,,,,,,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,,